Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,,-65.45,-16.47,9.86,5.13,-25.61,-37.7,-11.62,-85.71
3-Year Average,,,,,,-31.81,-1.19,-4.93,-21.31,-25.74,
5-Year Average,,,,,,,,-24.34,-14.87,-13.91,
10-Year Average,,,,,,,,,,,
