Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,72.12,219.37,,,,959.67,-78.88,244.4,120.55,-14.0,
3-Year Average,31.59,65.78,,,-69.52,,,97.54,17.06,86.93,
5-Year Average,32.98,58.62,,,-31.06,-0.84,-42.4,,,71.0,
10-Year Average,12.18,25.6,,,-10.66,14.83,-4.42,4.74,8.17,8.57,
