Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,,,,73.53,107.68,474.63,66.64,56.17,28.26
3-Year Average,,,,,,,,174.61,170.93,146.37,
5-Year Average,,,,,,,,,,121.98,
10-Year Average,,,,,,,,,,,
