Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,821.0,,,,,,480.0,,,-219.0,
Free Cash Flow Growth % YOY,,,,,,,,,,,
Cap Ex as a % of Sales,19.89,8.13,11.02,6.92,11.1,8.69,8.84,13.11,11.72,9.74,6.76
Free Cash Flow/Sales %,-6.77,5.41,0.12,4.37,2.95,2.15,1.45,-2.62,2.39,3.29,4.78
Free Cash Flow/Net Income,-1.11,1.01,0.03,0.83,0.52,0.35,0.24,-0.43,0.35,0.5,0.79
