Key Net Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,50.18,22.37,0.33,5.32,88.79,-6.83,1.36,45.71,31.13,1.79,
3-Year Average,56.57,86.49,22.62,8.94,25.88,22.82,21.26,11.23,24.65,24.82,
5-Year Average,,64.26,36.35,46.95,29.67,17.86,13.51,22.3,27.78,12.93,
10-Year Average,,,,,26.64,,36.55,29.13,37.03,21.01,
