Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,25.18,13.18,8.54,9.5,-1.91,7.61,-3.77,4.21,6.15,17.71,17.32
3-Year Average,4.57,11.97,15.42,10.39,5.24,4.94,0.52,2.57,2.1,9.2,
5-Year Average,3.46,3.14,7.03,10.78,10.55,7.26,3.84,3.0,2.36,6.16,
10-Year Average,3.74,4.37,4.17,6.36,5.65,5.34,3.49,4.99,6.49,8.34,
