Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,19.13,2.89,3.55,-4.7,39.92,1.2,3.72,-3.48,-8.68,-3.04,
3-Year Average,19.08,18.6,8.27,0.51,11.35,10.5,13.67,0.44,-2.94,-5.1,
5-Year Average,23.54,15.66,12.46,10.48,11.1,7.53,7.7,6.2,5.3,-2.15,
10-Year Average,11.26,11.04,11.27,12.65,14.55,15.26,11.61,9.29,7.86,4.26,
