Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,31.79,-2.0,12.97,-4.02,17.83,12.14,18.18,14.16,-62.7,226.2,
3-Year Average,19.76,17.84,13.42,2.05,8.51,8.24,16.01,14.8,-20.46,11.58,
5-Year Average,19.4,16.31,13.72,12.15,10.53,7.02,11.1,11.34,-7.84,12.98,
10-Year Average,26.29,,,40.55,13.28,13.04,13.68,12.52,1.67,11.75,
