Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,,,,,,,,,,,
Gross Margin,,,,,,,,,,,
SG&A,6.0,7.47,7.22,20.08,21.86,23.48,22.51,23.55,21.75,21.4,20.69
R&D,,,,,,,,,,,
Other,76.95,85.5,82.52,65.93,67.49,62.83,61.68,62.0,61.63,63.95,68.67
Operating Margin,17.05,7.03,10.27,13.99,10.66,13.69,15.81,14.45,16.62,14.64,10.64
Net Int Inc & Other,,,,,,,,-0.01,-0.06,0.41,0.44
EBT Margin,17.05,7.03,10.27,13.99,10.66,13.69,15.81,14.44,16.57,15.06,11.08
