Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,,-69.39,32.5,-42.86,564.2,-67.85,-7.92,-42.67,
3-Year Average,,,,,,-38.58,71.33,6.86,25.27,-44.64,
5-Year Average,,,57.1,16.49,,,,-13.13,8.28,-8.42,
10-Year Average,,,,,,30.73,50.57,16.82,12.31,,
