Key Revenue %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,,112.25,0.59,3.56,0.39,0.81,-2.28,0.73,22.9,23.31,
3-Year Average,,,,30.28,1.5,1.58,-0.37,-0.26,6.55,15.14,
5-Year Average,,,,,,17.48,0.6,0.62,4.13,8.5,
10-Year Average,,,,,,,,,,,
