Key Operating Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,27.42,-45.13,-73.17,313.72,31.02,-13.98,-6.9,-57.62,-98.92,,-16.6
3-Year Average,23.8,-12.88,-42.76,-15.23,13.3,67.07,1.62,-30.24,-83.8,,
5-Year Average,77.96,18.14,-22.52,-6.0,0.34,-7.25,3.1,12.97,-65.64,,
10-Year Average,15.73,5.98,6.33,6.94,13.74,28.48,10.36,-6.44,-43.17,,
