Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,121.32,,,,-43.75,481.48,-64.33,-7.14,55.77,-13.58,26.09
3-Year Average,59.27,,,-21.96,,,5.27,24.42,-19.8,7.72,
5-Year Average,30.19,,,24.57,-9.96,9.22,,,11.03,20.99,
10-Year Average,2.75,,,9.71,-7.2,19.25,,7.6,17.61,4.37,
