Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,,,,69.87,150.29,500.34,67.05,21.01,
3-Year Average,,,,,,,,194.43,192.79,129.8,
5-Year Average,,,,,,,,,,120.05,
10-Year Average,,,,,,,,,,,
