Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,36.29,42.09,32.85,30.6,31.21,35.92,43.71,35.69,42.21,43.71,44.88
Gross Margin,63.71,57.91,67.15,69.4,68.79,64.08,56.29,64.31,57.79,56.29,55.12
SG&A,,,,,,,,,1.38,0.82,0.76
R&D,,,,,,,,,,,
Other,111.97,63.09,81.65,60.84,51.53,61.95,60.52,73.87,63.41,52.38,49.2
Operating Margin,-47.49,2.63,-12.69,9.8,17.37,2.64,-3.8,-9.3,-6.84,3.19,5.25
Net Int Inc & Other,-16.22,-14.0,-7.36,-6.22,13.31,-0.04,-0.27,-0.34,-0.58,-0.31,-0.18
EBT Margin,-63.71,-11.38,-20.05,3.58,30.69,2.6,-4.08,-9.65,-7.42,2.88,5.07
