Key Financials AUD,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Revenue AUD Mil,,,,,,,,,,82.0,120.0
Gross Margin %,,,,,,,,,,44.6,38.8
Operating Income AUD Mil,,,-1.0,-2.0,-1.0,-3.0,-2.0,-3.0,-3.0,-2.0,6.0
Operating Margin %,,,,,,,,,,-2.9,5.2
Net Income AUD Mil,,,-1.0,-2.0,-1.0,-2.0,-1.0,-2.0,2.0,-4.0,1.0
Earnings Per Share AUD,,,-0.01,-0.01,,,,,,,
Dividends AUD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,,,201.0,165.0,334.0,668.0,863.0,1114.0,2078.0,2457.0,2461.0
Book Value Per Share * AUD,,,0.02,0.02,0.02,0.03,0.02,0.04,,,0.05
Operating Cash Flow AUD Mil,,,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-2.0,17.0,26.0
Cap Spending AUD Mil,,,-2.0,-2.0,-1.0,-4.0,-9.0,-7.0,-51.0,-32.0,-15.0
Free Cash Flow AUD Mil,,,-3.0,-3.0,-2.0,-5.0,-10.0,-8.0,-53.0,-15.0,11.0
Free Cash Flow Per Share * AUD,,,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,,,
Working Capital AUD Mil,,,1.0,2.0,4.0,19.0,12.0,3.0,30.0,30.0,
