Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,19.8,10.7,-2.99,13.32,32.53,3.17,-2.42,-1.83,-3.7,-5.49,-14.62
3-Year Average,9.53,11.4,8.76,6.77,13.37,15.72,10.09,-0.39,-2.65,-3.68,
5-Year Average,8.08,8.71,7.13,8.74,14.08,10.72,7.96,8.22,4.75,-2.1,
10-Year Average,4.34,5.44,4.58,5.55,8.76,9.39,8.33,7.67,6.72,5.68,
