Key Revenue %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,9.49,3.82,4.91,-9.87,-2.08,3.12,1.12,5.91,10.57,25.79,
3-Year Average,81.27,12.31,6.04,-0.61,-2.53,-3.09,0.7,3.36,5.8,13.78,
5-Year Average,65.83,51.48,51.17,6.02,1.03,-0.18,-0.7,-0.51,3.64,8.96,
10-Year Average,,,,,,31.89,25.21,25.18,4.82,4.92,
