Key Margins % of Sales,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Revenue,100.0,100.0,100.0,100.0,100.0,,,,,,
COGS,1.63,38.17,40.29,1.85,1.54,,,,,,
Gross Margin,98.37,61.83,59.71,98.15,98.46,,,,,,
SG&A,37.39,38.46,42.63,46.33,87.4,,,,,,
R&D,8.26,6.32,46.08,12.55,,,,,,,
Other,37.55,-0.31,-23.34,32.58,6.75,,,,,,
Operating Margin,15.16,17.36,-5.66,6.69,4.32,,,,,,
Net Int Inc & Other,,0.34,0.44,0.44,0.55,,,,,,
EBT Margin,15.16,17.7,-5.22,7.14,4.86,,,,,,
