Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,34.29,,,41.75,16.78,-41.35,-16.5,79.04,90.64,-68.07,23.2
3-Year Average,,,13.74,15.81,,-0.98,-16.99,-4.29,41.78,2.91,
5-Year Average,32.52,,,17.57,19.49,1.25,,7.74,14.31,-11.8,
10-Year Average,,,,,49.78,15.83,9.73,,15.93,2.66,
