Key Revenue %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,6.88,9.48,12.62,12.45,12.72,11.52,6.03,9.72,80.17,33.69,6.3
3-Year Average,10.72,11.03,9.64,11.51,12.6,12.23,10.05,9.07,27.98,38.25,
5-Year Average,12.51,10.65,10.85,11.63,10.81,11.75,11.04,10.46,21.38,25.59,
10-Year Average,20.7,17.42,15.72,13.17,12.68,12.13,10.85,10.65,16.4,17.97,
