Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-24.58,-95.23,,,10.88,-14.9,180.7,5.06,18.88,75.81,-24.56
3-Year Average,-10.71,-67.3,,-16.42,138.48,,38.36,35.9,51.91,29.97,
5-Year Average,-7.81,-48.86,,-15.62,-13.36,-11.24,100.5,,27.03,39.3,
10-Year Average,24.27,-26.1,,-7.48,-8.04,-9.54,1.26,1.47,3.53,9.86,
