Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,79.52,40.75,-43.58,-97.03,4143.18,-13.66,-14.7,14.11,-85.6,209.73,-19.71
3-Year Average,14.75,28.67,12.55,-71.32,-10.74,2.87,214.98,-5.63,-48.05,-20.15,
5-Year Average,14.11,17.38,3.71,-48.65,12.44,-2.87,-12.13,1.16,38.72,-17.82,
10-Year Average,6.88,11.04,5.56,-30.89,-2.56,5.28,1.56,2.43,-15.6,-3.87,
