Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,11.6,2.32,-2.86,3.88,13.12,1.21,-3.06,1.2,-6.69,13.31,3.3
3-Year Average,10.75,9.55,3.52,1.07,4.51,5.95,3.54,-0.24,-2.9,2.28,
5-Year Average,13.88,8.72,6.19,5.82,5.44,3.4,2.29,3.13,0.94,0.98,
10-Year Average,11.96,10.07,7.44,7.61,8.88,8.51,5.46,4.65,3.35,3.19,
