Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,87.26,40.9,-20.64,39.31,26.41,-23.28,89.59,-70.56,,,
3-Year Average,25.8,50.4,27.93,15.92,11.8,10.55,22.51,-24.62,,-28.57,
5-Year Average,33.2,28.3,17.36,30.33,29.82,8.6,15.24,-5.49,,-11.92,
10-Year Average,14.97,23.12,20.92,28.95,41.1,20.27,21.6,5.32,,6.93,
