Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,10.8,-10.18,14.47,11.64,5.61,4.47,-4.06,-1.56,9.87,6.1,-14.89
3-Year Average,14.73,2.91,4.44,4.7,10.51,7.19,1.91,-0.45,1.24,4.69,
5-Year Average,4.84,5.67,9.2,6.85,6.08,4.84,6.23,3.07,2.74,2.84,
10-Year Average,2.6,1.28,2.95,4.74,3.47,4.84,5.95,6.09,4.78,4.44,
