Key Profitability,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Tax Rate %,,,,,,,,,,,
Net Margin %,,,,,,,,,,,
Asset Turnover (Average),,,,,,,,,,,
Return on Assets %,-20.48,-14.47,-25.04,-21.28,-28.3,-24.97,-59.37,-83.49,-54.99,-84.33,-84.33
Financial Leverage (Average),1.04,1.04,1.09,1.02,1.02,1.02,1.15,1.19,1.05,1.08,1.08
Return on Equity %,-21.38,-15.02,-26.65,-22.53,-28.95,-25.5,-64.12,-97.19,-61.16,-90.0,-90.0
Return on Invested Capital %,-25.41,-16.67,-26.83,-22.71,-29.17,-25.61,-64.25,-97.33,-61.27,-90.11,-90.11
Interest Coverage,,,,,,,,,,,
