Key Financials AUD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue AUD Mil,0.0,,,,,,,,,,
Gross Margin %,,,,,,,,,,,
Operating Income AUD Mil,-2.0,-2.0,-1.0,-1.0,-1.0,-4.0,-2.0,-1.0,-1.0,-1.0,-1.0
Operating Margin %,,,,,,,,,,,
Net Income AUD Mil,-1.0,-1.0,-1.0,-1.0,-1.0,-4.0,-2.0,-1.0,-1.0,-1.0,-1.0
Earnings Per Share AUD,-0.03,-0.03,-0.03,-0.03,-0.02,-0.07,-0.04,-0.01,-0.01,-0.01,-0.01
Dividends AUD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,42.0,43.0,45.0,46.0,46.0,50.0,50.0,50.0,50.0,52.0,52.0
Book Value Per Share * AUD,0.21,0.18,0.31,0.29,0.28,0.19,0.23,0.2,0.2,0.21,0.2
Operating Cash Flow AUD Mil,-1.0,-1.0,-1.0,-1.0,-1.0,-4.0,-2.0,-0.0,-1.0,-1.0,-1.0
Cap Spending AUD Mil,-0.0,-0.0,-2.0,,,,,,,,
Free Cash Flow AUD Mil,-1.0,-1.0,-3.0,-1.0,-1.0,-4.0,-2.0,-0.0,-1.0,-1.0,-1.0
Free Cash Flow Per Share * AUD,-0.03,-0.03,-0.08,-0.03,-0.02,-0.03,-0.08,-0.02,-0.01,-0.01,
Working Capital AUD Mil,9.0,8.0,4.0,3.0,2.0,3.0,1.0,0.0,-0.0,1.0,
