Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,47.0,50.04,52.06,46.36,50.7,50.35,47.86,43.07,41.85,38.37,36.45
Gross Margin,53.0,49.96,47.94,53.64,49.3,49.65,52.14,56.93,58.15,61.63,63.55
SG&A,12.15,12.91,12.66,10.88,11.93,14.07,15.22,14.13,13.45,13.22,11.73
R&D,15.58,15.52,14.16,11.24,12.49,14.64,12.47,10.41,9.85,10.25,10.09
Other,,2.03,2.03,-0.79,3.11,5.57,1.25,2.14,1.98,2.27,2.1
Operating Margin,25.28,19.49,19.09,32.32,21.78,15.38,23.2,30.26,32.88,35.89,39.63
Net Int Inc & Other,1.41,0.35,0.25,0.26,-0.27,-0.3,-0.64,-0.56,-0.45,0.98,1.58
EBT Margin,26.69,19.85,19.34,32.59,21.51,15.09,22.56,29.7,32.43,36.87,41.21
