Key Margins % of Sales,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,14.43,17.09,12.04,13.12,13.41,13.97,14.71,14.9,14.48,14.2,14.27
Gross Margin,85.57,82.91,87.96,86.88,86.59,86.03,85.29,85.1,85.52,85.8,85.73
SG&A,44.19,39.29,39.37,39.22,38.71,36.19,33.98,33.72,34.11,34.76,35.51
R&D,12.06,11.38,11.07,10.63,10.65,10.72,13.01,14.15,13.91,14.52,15.23
Other,9.21,5.85,8.47,8.72,8.35,10.17,9.41,9.97,9.29,8.4,8.8
Operating Margin,20.11,26.39,29.05,28.31,28.88,28.95,28.9,27.26,28.2,28.12,26.19
Net Int Inc & Other,-1.22,-1.45,-1.8,-1.02,-1.05,-0.98,-5.87,-1.1,-1.27,-1.54,-2.01
EBT Margin,18.89,24.94,27.25,27.3,27.83,27.98,23.03,26.16,26.93,26.59,24.18
