Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,-16.49,-38.33,90.46,10.14,-17.1,-13.88,20.82,6.47,12.07,32.72
3-Year Average,,5.15,-18.22,-0.64,8.96,20.26,-7.7,-4.81,3.47,12.97,
5-Year Average,,12.67,-8.95,6.43,2.79,-2.18,-1.57,12.59,0.23,0.58,
10-Year Average,,7.24,0.31,-0.02,3.66,5.59,5.31,1.25,3.28,1.68,
