Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,,,,,,244.83,-9.0,117.58,-3.92
3-Year Average,,,,,,,,22.8,,89.71,
5-Year Average,,,,,-48.14,,,,,29.67,
10-Year Average,,,,,,,-25.49,-20.49,-22.2,-18.0,
