Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,61.0,,,,,,,,,,
Free Cash Flow Growth % YOY,145.0,,,,,,,,,,
Cap Ex as a % of Sales,0.57,0.43,0.48,0.33,0.45,0.48,1.42,2.39,1.65,1.06,0.98
Free Cash Flow/Sales %,7.22,2.49,8.52,5.94,8.13,5.89,7.36,8.09,11.14,8.96,9.48
Free Cash Flow/Net Income,0.69,0.19,0.75,0.81,0.95,0.56,0.7,0.76,1.08,1.05,0.8
