Key Efficiency Ratios,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Days Sales Outstanding,,,,,,,,2.2,3.0,6.28,6.28
Days Inventory,,,,,,,,,,,
Payables Period,,,,,,,,192.2,179.62,169.21,169.21
Cash Conversion Cycle,,,,,,,,,,,
Receivables Turnover,,,,,,,,166.23,121.72,58.12,58.12
Inventory Turnover,,,,,,,,,,,
Fixed Assets Turnover,,,,,,,,,,,
Asset Turnover,,,,,,,,0.07,0.1,0.08,0.08
