Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,84.29,-43.48,-43.22,-3.16,30.99,166.17,24.74,-21.84,90.03,78.78,
3-Year Average,13.21,-6.41,-16.06,-32.27,-10.36,50.02,63.23,37.42,22.82,38.48,
5-Year Average,16.94,11.49,-14.18,-14.73,-5.59,1.62,19.05,26.91,45.23,54.55,
10-Year Average,14.71,9.52,-1.59,-2.08,-0.31,9.01,15.21,4.36,11.28,20.79,
