Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,32.71,32.64,34.16,33.02,35.52,37.95,37.0,38.23,36.63,37.79,38.56
Gross Margin,67.29,67.36,65.84,66.98,64.48,62.05,63.0,61.77,63.37,62.21,61.44
SG&A,27.61,21.92,27.7,25.29,26.81,28.69,27.7,27.12,24.14,24.0,23.21
R&D,21.97,20.47,22.37,22.42,23.08,25.23,22.34,21.75,20.47,20.31,19.64
Other,3.36,5.52,6.4,0.52,0.69,1.07,0.84,21.98,-0.01,0.07,0.57
Operating Margin,14.35,19.45,9.37,18.75,13.9,7.06,12.12,-9.07,18.77,17.83,18.03
Net Int Inc & Other,3.65,0.95,0.04,0.26,-1.05,-0.38,-0.87,7.21,-1.23,-1.25,-0.95
EBT Margin,18.0,20.4,9.41,19.01,12.85,6.68,11.25,-1.87,17.54,16.58,17.08
