Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,13.87,,,68.72,-95.7,,-86.37,,,
3-Year Average,,,,-33.91,-24.65,,183.18,22.41,,,
5-Year Average,,,,,14.87,-53.84,41.92,,,,
10-Year Average,,0.23,,-11.78,,,,,,,
