Key EPS %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,11.04,-11.14,56.61,-1.08,22.32,,-3.22,15.9,54.7,134.33,-99.25
3-Year Average,,7.42,15.61,11.24,23.75,6.56,5.79,3.9,20.17,61.36,
5-Year Average,12.05,6.14,,13.94,13.33,10.98,12.9,6.3,16.24,32.38,
10-Year Average,15.37,25.27,6.04,,14.61,11.51,9.47,,15.09,22.49,
