Key Cash Flow Ratios,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Operating Cash Flow Growth % YOY,51.29,73.31,-21.21,50.46,35.3,5.13,-2.87,-2.07,43.0,-24.43,
Free Cash Flow Growth % YOY,357.99,100.88,1.54,64.49,54.69,2.79,-6.32,0.36,54.26,-28.65,
Cap Ex as a % of Sales,9.07,12.41,5.64,6.03,4.47,4.74,5.22,4.29,3.69,3.46,3.42
Free Cash Flow/Sales %,7.43,13.54,11.59,16.75,23.53,21.86,19.94,18.54,26.11,16.58,16.43
Free Cash Flow/Net Income,0.56,0.85,0.67,0.92,1.26,1.08,0.9,0.88,1.36,1.0,0.99
