Key Profitability,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Tax Rate %,18.36,,14.09,,,11.77,18.63,12.98,11.09,9.41,
Net Margin %,17.55,-0.53,17.94,12.98,-1.71,16.84,22.33,20.5,16.58,17.01,4.21
Asset Turnover (Average),0.27,0.2,0.26,0.26,0.25,0.25,0.28,0.29,0.28,0.27,0.28
Return on Assets %,4.78,-0.11,4.63,3.35,-0.43,4.29,6.36,5.84,4.58,4.61,1.17
Financial Leverage (Average),3.17,3.4,2.95,2.93,3.11,2.94,2.84,2.79,2.82,2.64,3.0
Return on Equity %,15.55,-0.35,14.59,9.86,-1.3,12.95,18.38,16.46,12.85,12.57,3.34
Return on Invested Capital %,,,,,,,,,,,
Interest Coverage,,,,,,,,,,,
