Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,,,,289.11,-50.68,-65.82,443.52,115.81,-64.27
3-Year Average,,,,,,,,-13.11,-2.87,58.86,
5-Year Average,,,,,,,,,,50.4,
10-Year Average,,,,,,,,,,,
