Key Margins % of Sales,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,62.22,64.3,64.11,64.98,62.52,63.22,66.24,64.03,62.68,62.37,62.91
Gross Margin,37.78,35.7,35.89,35.02,37.48,36.78,33.76,35.97,37.32,37.63,37.09
SG&A,18.14,20.26,20.19,15.51,14.85,14.48,12.96,13.05,13.45,12.69,12.59
R&D,,,,,,,,,,,
Other,3.33,34.01,4.39,4.4,2.84,2.88,3.58,2.54,1.94,1.94,1.93
Operating Margin,16.31,-18.57,11.31,15.12,19.79,19.42,17.22,20.37,21.93,23.0,22.57
Net Int Inc & Other,5.88,0.36,-1.17,-2.33,-1.98,12.14,-0.94,13.6,-6.73,-6.55,-6.2
EBT Margin,22.19,-18.21,10.14,12.78,17.82,31.57,16.28,33.97,15.2,16.45,16.37
