Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,43.95,44.16,42.38,42.26,42.13,40.82,40.78,39.2,37.5,37.94,38.31
Gross Margin,56.05,55.84,57.62,57.74,57.87,59.18,59.22,60.8,62.5,62.06,61.69
SG&A,36.26,35.01,34.38,34.85,37.6,36.54,38.63,38.3,36.62,33.53,30.31
R&D,,,,,,,,,,,
Other,2.85,5.01,4.65,6.43,7.26,9.09,10.3,9.16,11.79,19.0,17.29
Operating Margin,16.94,15.82,18.6,16.46,13.01,13.55,10.28,13.34,14.09,9.52,14.09
Net Int Inc & Other,0.88,0.08,-0.12,-0.13,-0.79,-1.28,-2.56,-2.62,-3.2,-4.32,-3.87
EBT Margin,17.82,15.9,18.48,16.33,12.22,12.27,7.72,10.73,10.89,5.2,10.22
