Key Profitability,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Tax Rate %,,,,,90.44,,225.0,70.09,6.51,21.16,21.16
Net Margin %,,,,,0.25,-2.36,-0.76,0.67,7.98,5.18,5.18
Asset Turnover (Average),,,,,0.93,0.99,1.02,1.07,1.12,1.09,1.09
Return on Assets %,,,,,0.23,-2.34,-0.77,0.71,8.92,5.67,5.67
Financial Leverage (Average),,,,,357.47,,,2.93,2.78,2.85,2.85
Return on Equity %,,,,,82.35,,,6.27,25.42,15.94,15.94
Return on Invested Capital %,,,,,23.68,,,9.87,15.32,9.98,9.98
Interest Coverage,,,,,1.24,0.82,1.07,1.3,8.87,7.77,7.77
