Key Cash Flow Ratios,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Operating Cash Flow Growth % YOY,-13.13,8.01,-10.18,64.25,39.32,16.06,-27.69,91.59,14.0,6.14,
Free Cash Flow Growth % YOY,-39.37,19.25,26.55,31.81,27.72,11.87,-51.33,205.24,19.22,11.39,
Cap Ex as a % of Sales,3.91,3.54,0.99,2.18,2.88,3.48,2.9,3.1,3.29,3.01,3.74
Free Cash Flow/Sales %,5.21,6.04,7.95,5.42,5.45,5.94,2.13,6.47,7.93,8.63,3.54
Free Cash Flow/Net Income,0.69,1.64,1.18,4.62,1.16,0.83,1.22,1.21,1.11,1.29,0.57
