Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,83.99,86.34,78.34,113.1,100.4,99.96,4.46,3.62,,,
Gross Margin,16.01,13.66,21.66,-13.1,-0.4,0.04,95.54,96.38,100.0,100.0,100.0
SG&A,1.13,8.6,4.06,101.69,2.82,22.26,182.98,101.22,264.25,,
R&D,11.19,,,,,,,,,,
Other,27.79,102.05,47.29,290.16,10.52,61.42,,3.86,,,
Operating Margin,-24.11,-95.77,-26.11,-398.6,-9.75,-99.15,,69.34,,,
Net Int Inc & Other,-4.93,-9.75,-9.31,-171.38,-6.23,-13.12,-163.8,-101.92,,,
EBT Margin,-29.04,-105.52,-35.42,-569.99,-15.98,-112.27,,-32.58,,,
