Key Operating Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,27.99,12.07,8.25,34.17,43.65,7.1,23.8,15.76,18.04,16.73,17.14
3-Year Average,29.57,41.59,15.8,17.63,27.78,27.33,23.96,15.35,19.15,16.84,
5-Year Average,,28.7,21.42,32.75,24.51,20.15,22.57,24.22,21.08,16.16,
10-Year Average,,,,,23.62,,25.6,22.81,26.78,20.26,
