Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,,,,,,,,-85.5,827.23,
Free Cash Flow Growth % YOY,,,,,,,,,,,
Cap Ex as a % of Sales,,,,,,,,15.24,17.13,3.57,8.85
Free Cash Flow/Sales %,,,,,,,,-1.55,-15.2,13.22,6.83
Free Cash Flow/Net Income,,,,,,,,6.13,-5.12,1.37,0.67
