Key Financials AUD,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Revenue AUD Mil,,,90.0,143.0,207.0,142.0,219.0,163.0,195.0,89.0,130.0
Gross Margin %,,,9.9,8.5,11.2,7.9,-4.4,5.4,3.4,-10.1,-2.9
Operating Income AUD Mil,,,3.0,3.0,14.0,-0.0,-25.0,2.0,0.0,-15.0,-11.0
Operating Margin %,,,3.2,1.8,6.5,-0.1,-11.5,1.3,0.2,-17.4,-8.2
Net Income AUD Mil,,,8.0,2.0,10.0,-0.0,-27.0,2.0,5.0,-11.0,-9.0
Earnings Per Share AUD,,,0.05,0.01,0.06,,-0.14,0.01,0.01,-0.02,-0.02
Dividends AUD,,,,0.02,0.02,0.01,,,,,
Payout Ratio % *,,,,169.1,36.0,,,,,,
Shares Mil,,,148.0,149.0,157.0,190.0,190.0,190.0,394.0,473.0,476.0
Book Value Per Share * AUD,,,0.06,0.06,0.16,0.15,0.15,0.01,0.01,0.03,0.01
Operating Cash Flow AUD Mil,,,-44.0,-65.0,66.0,-8.0,21.0,8.0,-11.0,-51.0,-19.0
Cap Spending AUD Mil,,,-0.0,-3.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Free Cash Flow AUD Mil,,,-45.0,-68.0,66.0,-9.0,21.0,8.0,-12.0,-51.0,-19.0
Free Cash Flow Per Share * AUD,,,-0.3,-0.46,0.42,-0.04,-0.04,0.11,0.04,-0.03,
Working Capital AUD Mil,,,4.0,-17.0,14.0,14.0,-24.0,-0.0,3.0,-2.0,
