Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,35.4,38.01,34.91,34.51,35.41,36.0,34.59,35.17,33.51,30.3,29.73
Gross Margin,64.6,61.99,65.09,65.49,64.59,64.0,65.41,64.83,66.49,69.7,70.27
SG&A,,,,,,,,,,,
R&D,,,,,,,,,,,
Other,44.96,43.5,47.43,48.25,45.47,47.75,44.08,43.32,43.79,46.22,47.1
Operating Margin,19.64,19.01,17.67,17.24,19.11,16.25,21.33,21.51,22.7,23.48,23.16
Net Int Inc & Other,-2.23,-4.69,-3.28,-1.76,-2.15,-3.78,-4.65,-4.79,-5.22,-7.07,-6.4
EBT Margin,17.41,14.32,14.38,15.48,16.97,12.47,16.68,16.72,17.48,16.42,16.76
