Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,13.97,0.94,-2.9,24.31,5.87,-5.2,14.26,8.44,0.7,-1.66,
Free Cash Flow Growth % YOY,12.15,1.09,2.53,11.29,7.89,2.85,19.57,10.94,2.29,-5.86,
Cap Ex as a % of Sales,6.16,5.66,4.92,5.62,5.02,4.14,4.21,4.29,4.37,4.84,4.64
Free Cash Flow/Sales %,11.41,10.53,10.8,8.98,8.43,8.8,10.38,11.47,12.4,11.73,10.54
Free Cash Flow/Net Income,0.8,0.89,0.79,0.82,0.87,0.93,1.02,1.17,1.43,1.16,0.96
