Key Cash Flow Ratios,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Operating Cash Flow Growth % YOY,,,,,,,,,,,
Free Cash Flow Growth % YOY,,,,,,,,,,,
Cap Ex as a % of Sales,95.55,,,,,,,,,,
Free Cash Flow/Sales %,-70.84,,,,,,,,,,
Free Cash Flow/Net Income,0.49,0.47,1.0,1.25,1.6,0.63,2.44,3.06,2.23,-4.01,-4.01
