Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-9.5,,,408.3,,,54.44,-76.38,251.63,-37.53,-949.82
3-Year Average,17.34,,-61.96,-32.39,,73.91,16.92,,8.66,-19.64,
5-Year Average,28.77,,-37.13,,,-20.39,,13.92,5.83,,
10-Year Average,9.78,,-11.72,3.55,,1.25,5.24,-15.37,,-13.59,
