Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,,,,,,,,,,,
Gross Margin,,,,,,,,,,,
SG&A,32.08,39.2,41.93,39.26,35.14,36.0,42.96,43.28,43.32,42.81,43.13
R&D,,,,,,,,,,,
Other,33.29,36.22,35.34,41.44,36.27,30.49,25.24,23.36,23.68,23.26,23.62
Operating Margin,33.44,21.79,16.29,13.11,23.37,29.57,28.25,30.14,30.4,31.14,31.38
Net Int Inc & Other,-1.19,-2.79,-6.43,-6.19,-5.22,-3.94,-3.55,-3.22,-2.6,-2.78,-1.87
EBT Margin,33.44,21.79,16.29,13.11,23.37,29.57,28.25,30.14,30.4,31.14,31.38
