Key Operating Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,327.86,31.05,10.65,0.56,10.77,-1.94,-4.48,-10.68,-1.29,-1.05,-18.73
3-Year Average,35.46,97.18,83.75,13.4,7.22,2.98,1.23,-5.77,-5.57,-4.45,
5-Year Average,,31.83,29.23,53.53,47.2,9.63,2.91,-1.4,-1.77,-3.96,
10-Year Average,-8.17,-6.49,-7.52,,,,16.48,12.88,22.81,18.9,
