Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,17.68,-10.63,-39.67,96.42,27.87,-9.4,23.68,-22.72,12.2,-41.5,
3-Year Average,17.0,5.02,-14.07,1.93,14.86,31.53,12.74,-4.68,2.36,-20.25,
5-Year Average,,15.06,-2.89,6.54,9.77,4.17,11.17,16.81,4.44,-10.68,
10-Year Average,5.01,4.55,-9.14,3.03,13.67,,13.1,6.51,5.48,-0.98,
