Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,15.09,14.75,-15.92,15.05,15.82,3.1,10.42,9.12,26.25,-28.92,-6.18
3-Year Average,-8.2,17.38,3.56,3.54,3.86,11.17,9.66,7.5,15.01,-0.7,
5-Year Average,14.08,15.88,-5.68,9.36,8.15,5.8,4.99,10.61,12.68,2.2,
10-Year Average,15.03,14.52,10.6,10.32,11.11,9.86,10.3,2.14,11.01,5.13,
