Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,,93.88,5.87,7.69,-4.8,-2.0,26.33,-15.13,
3-Year Average,,,,,,30.27,2.77,0.16,5.63,1.67,
5-Year Average,,,,,,,,15.58,6.09,1.5,
10-Year Average,,,,,,,,,,,
