Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,40.52,-30.95,-61.3,157.43,5.38,5.37,11.88,7.05,-2.82,-2.38,28.07
3-Year Average,43.47,,-27.86,-11.73,1.63,41.92,7.5,8.06,5.19,0.51,
5-Year Average,26.22,7.62,-4.63,,0.37,-5.25,4.35,27.91,5.26,3.66,
10-Year Average,6.63,7.55,-8.7,-6.39,2.5,9.36,5.98,10.45,,2.0,
