Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,11.84,-53.57,112.95,21.93,-49.0,70.73,38.88,-24.08,-0.67,45.91,
3-Year Average,31.29,5.2,3.41,6.43,9.81,2.01,6.53,21.64,1.55,3.24,
5-Year Average,102.05,-3.32,17.48,24.77,-7.22,0.97,25.71,2.28,-1.83,21.14,
10-Year Average,18.26,7.68,21.45,19.06,,42.84,10.24,9.62,10.67,6.02,
