Key Financials AUD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue AUD Mil,,,0.0,0.0,0.0,0.0,,,20.0,64.0,64.0
Gross Margin %,,,,,,,,,27.8,39.5,39.5
Operating Income AUD Mil,-2.0,-7.0,-2.0,-17.0,-4.0,-3.0,-14.0,-4.0,-5.0,-16.0,-16.0
Operating Margin %,,,,,,,,,-24.9,-24.6,-24.6
Net Income AUD Mil,-4.0,4.0,1.0,2.0,-2.0,-3.0,-13.0,-4.0,-5.0,-16.0,-16.0
Earnings Per Share AUD,-0.03,0.03,0.01,0.01,-0.01,-0.01,-0.05,-0.01,-0.01,-0.02,-0.02
Dividends AUD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,142.0,157.0,198.0,231.0,247.0,251.0,258.0,346.0,491.0,731.0,731.0
Book Value Per Share * AUD,0.03,0.06,0.07,0.1,0.1,0.1,0.07,0.03,0.02,0.03,0.04
Operating Cash Flow AUD Mil,-3.0,-7.0,0.0,-2.0,-1.0,-2.0,-1.0,-1.0,3.0,20.0,20.0
Cap Spending AUD Mil,-0.0,-0.0,-1.0,-4.0,-9.0,-4.0,-3.0,-8.0,-14.0,-22.0,-22.0
Free Cash Flow AUD Mil,-3.0,-7.0,-1.0,-6.0,-11.0,-6.0,-5.0,-9.0,-11.0,-2.0,-2.0
Free Cash Flow Per Share * AUD,-0.02,-0.04,,-0.03,-0.03,-0.04,-0.02,-0.02,-0.03,-0.02,
Working Capital AUD Mil,4.0,5.0,10.0,18.0,10.0,5.0,3.0,2.0,-4.0,-3.0,
