Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,63.56,118.02,-3.55,0.63,10.29,-12.51,51.37,42.55,
3-Year Average,,56.03,101.37,,50.95,28.38,2.29,-0.98,13.46,23.59,
5-Year Average,,,60.32,68.41,76.58,,30.72,15.34,7.23,15.94,
10-Year Average,,39.6,39.41,54.21,,,,35.61,34.38,43.08,
