Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,88.5,26.4,26.94,-29.59,6.71,-16.73,-7.98,-17.04,-46.34,151.61,
Free Cash Flow Growth % YOY,96.51,40.81,41.07,-29.2,6.33,-18.13,-10.42,-22.38,-55.92,210.74,
Cap Ex as a % of Sales,5.02,3.62,1.93,1.34,1.49,1.67,2.17,2.72,3.0,3.2,4.71
Free Cash Flow/Sales %,16.43,21.05,35.22,27.31,28.32,23.55,21.77,15.49,6.95,20.17,17.38
Free Cash Flow/Net Income,0.61,1.0,1.47,1.26,1.5,1.18,0.94,1.22,0.43,1.19,0.77
