Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,,,,,,,,,,
Free Cash Flow Growth % YOY,,,,,,,,,,,
Cap Ex as a % of Sales,,,,,,,,20.68,3.94,31.0,2.39
Free Cash Flow/Sales %,,,,,,,,-60.56,23.46,-342.0,-6.63
Free Cash Flow/Net Income,4.74,5.78,5.36,-30.71,6.93,21.2,1.09,3.5,-0.14,0.04,0.01
